Plot,Plant,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes,Date,Flower height,Leaf height,BD,AB,FF,SG,SD,ST,notes
EHSR(1),7,5/24/2015,,10,,,,,,,,5/26/2015,,11,,,,,,,,5/29/2015,,9,,,,,,,,6/1/2015,,10,,,,,,,,6/3/2015,,9,,,,,,,,6/5/2015,,8,,,,,,,,6/7/2015,,10,,,,,,,,6/9/2015,,10,,,,,,,,6/11/2015,,11,,,,,,,,6/13/2015,,10,,,,,,,,6/15/2015,,9,,,,,,,,6/17/2015,,10,,,,,,,,6/19/2015,,9,,,,,,,,6/21/2015,,9,,,,,,,,6/23/2015,,10,,,,,,,,6/26/2015,,9,,,,,,,
EH(4),1,5/24/2015,,,,,,,,,,5/26/2015,,,,,,,,,dead,5/29/2015,,,,,,,,,,6/1/2015,,,,,,,,,,6/3/2015,,,,,,,,,,6/5/2015,,,,,,,,,,6/7/2015,,,,,,,,,,6/9/2015,,,,,,,,,,6/11/2015,,,,,,,,,,6/13/2015,,,,,,,,,,6/15/2015,,,,,,,,,,6/17/2015,,,,,,,,,,6/19/2015,,,,,,,,,,6/21/2015,,,,,,,,,,6/23/2015,,,,,,,,,,6/26/2015,,,,,,,,,
EH(4),2,5/24/2015,,,,,,,,,,5/26/2015,,,,,,,,,dead,5/29/2015,,,,,,,,,,6/1/2015,,,,,,,,,,6/3/2015,,,,,,,,,,6/5/2015,,,,,,,,,,6/7/2015,,,,,,,,,,6/9/2015,,,,,,,,,,6/11/2015,,,,,,,,,,6/13/2015,,,,,,,,,,6/15/2015,,,,,,,,,,6/17/2015,,,,,,,,,,6/19/2015,,,,,,,,,,6/21/2015,,,,,,,,,,6/23/2015,,,,,,,,,,6/26/2015,,,,,,,,,
EH(4),3,5/24/2015,21,29,2,,,,,,,5/26/2015,24,31,2,,,,,,,5/29/2015,27,30,3,,,,,,,6/1/2015,32,38,2,,,,,,,6/3/2015,33,41,3,,,,,,,6/5/2015,35,42,2,,1,,,,,6/7/2015,37,42,1,,2,,,,,6/9/2015,41,43,1,,2,,,,,6/11/2015,43,43,1,,2,,,,,6/13/2015,47,43,,,3,,,,,6/15/2015,48,43,,,2,1,,,,6/17/2015,51,43,,,,2,1,,,6/19/2015,48,44,,,,2,1,,,6/21/2015,50,43,,,,2,1,,,6/23/2015,52,43,,,,2,1,,,6/26/2015,52,43,,,,,3,,
EH(4),4,5/24/2015,14,37,1,,,,,,,5/26/2015,16,36,1,,,,,,,5/29/2015,18,42,1,,,,,,,6/1/2015,23,38,1,,,,,,,6/3/2015,27,40,2,,,,,,,6/5/2015,32,37,2,,,,,,,6/7/2015,32,39,2,,,,,,,6/9/2015,37,43,,,1,,,,,6/11/2015,37,39,,,1,,,,,6/13/2015,38,43,,,1,,,,,6/15/2015,42,40,,,1,,,,,6/17/2015,42,42,,,,1,,,,6/19/2015,42,38,,,,1,,,,6/21/2015,42,41,,,,,1,,,6/23/2015,41,40,,,,1,,,,6/26/2015,42,37,,,,,1,,
EH(4),5,5/24/2015,28,29,5,,,,,,,5/26/2015,34,35,3,,1,,,,,5/29/2015,27,34,5,,,,,,,6/1/2015,35,36,3,,1,,,,,6/3/2015,38,39,2,,3,,,,,6/5/2015,43,42,2,,3,,,,,6/7/2015,46,41,3,,2,1,,,,6/9/2015,47,42,2,,3,,1,,,6/11/2015,53,42,1,,3,1,,,,6/13/2015,55,41,1,,2,2,1,,,6/15/2015,58,41,,,1,2,2,,,6/17/2015,55,41,1,,1,1,3,,,6/19/2015,59,42,,,,1,4,,,6/21/2015,58,38,,,1,1,3,,,6/23/2015,60,41,,,1,2,3,,,6/26/2015,59,40,,,1,,5,,
EH(4),6,5/24/2015,16,28,2,,,,,,,5/26/2015,22,38,13,,,,,,,5/29/2015,25,32,9,,,,,,,6/1/2015,27,38,12,,2,,,,,6/3/2015,30,40,14,,3,,,,,6/5/2015,32,42,8,,6,,,,,6/7/2015,35,42,15,,5,,,,,6/9/2015,40,42,7,1,10,,,,,6/11/2015,42,44,3,,10,2,,,,6/13/2015,44,41,2,1,7,7,,,,6/15/2015,45,41,2,1,2,10,,,,6/17/2015,46,41,1,2,1,9,3,,,6/19/2015,48,40,,2,,6,7,,,6/21/2015,47,39,,2,,4,10,,,6/23/2015,48,39,1,2,,5,9,,,6/26/2015,46,39,,5,,,11,,
EH(4),7,5/24/2015,18,33,1,,,,,,,5/26/2015,,29,,,,,,,,5/29/2015,20,37,1,,,,,,,6/1/2015,30,34,1,,,,,,,6/3/2015,33,35,,,1,,,,,6/5/2015,36,39,,,1,,,,,6/7/2015,38,39,,,1,,,,,6/9/2015,40,43,,,1,,,,,6/11/2015,43,41,,,1,,,,,6/13/2015,45,39,,,1,,,,,6/15/2015,45,31,,,1,,,,,6/17/2015,48,37,,,,1,,,,6/19/2015,50,36,,,,1,,,,6/21/2015,49,37,,,,1,,,,6/23/2015,50,38,,,,1,,,,6/26/2015,51,37,,,,,1,,
EH(4),8,5/24/2015,,16,,,,,,,,5/26/2015,17,29,2,,,,,,,5/29/2015,24,29,3,,,,,,,6/1/2015,30,33,1,,1,,,,,6/3/2015,32,33,2,,1,,,,,6/5/2015,38,42,2,,1,,,,,6/7/2015,40,38,2,,2,,,,,6/9/2015,41,42,2,,2,,,,,6/11/2015,44,41,,,4,,,,,6/13/2015,42,41,,,3,1,,,,6/15/2015,47,40,,,3,1,,,,6/17/2015,50,39,,,1,3,,,,6/19/2015,49,39,,,,2,2,,,6/21/2015,48,38,,,,2,2,,,6/23/2015,49,37,,,,2,2,,,6/26/2015,49,37,,,,,3,,
EH(4),9,5/24/2015,,23,,,,,,,,5/26/2015,,28,,,,,,,,5/29/2015,,25,,,,,,,,6/1/2015,,32,,,,,,,,6/3/2015,,35,,,,,,,,6/5/2015,,35,,,,,,,,6/7/2015,,36,,,,,,,,6/9/2015,,35,,,,,,,,6/11/2015,,33,,,,,,,,6/13/2015,,31,,,,,,,,6/15/2015,,32,,,,,,,,6/17/2015,,32,,,,,,,,6/19/2015,,35,,,,,,,,6/21/2015,,33,,,,,,,,6/23/2015,,34,,,,,,,,6/26/2015,,34,,,,,,,
